,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS?,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,David Pastrnak\pastrda01,23,BOS,RW,15,15,15,30,7,8,4.4,6,9,0,2,11,4,0,52,28.8,278,18:32,6,9,1,4,20.0
2,Leon Draisaitl\draisle01,24,EDM,C,17,13,16,29,6,4,3.9,12,1,0,3,9,7,0,56,23.2,406,23:52,4,3,116,123,48.5
3,Brad Marchand\marchbr03,31,BOS,LW,15,10,18,28,13,28,3.9,8,2,0,3,11,7,0,41,24.4,293,19:33,2,9,9,4,69.2
4,John Carlson\carlsjo01,30,WSH,D,17,8,18,26,13,6,4.5,6,2,0,2,12,6,0,47,17.0,433,25:29,30,9,0,0,
5,Connor McDavid\mcdavco01,23,EDM,C,17,8,18,26,5,8,3.1,5,3,0,2,10,8,0,56,14.3,395,23:13,5,8,72,81,47.1
6,Nathan MacKinnon\mackina01,24,COL,C,16,9,13,22,-1,2,2.4,4,5,0,1,9,4,0,82,11.0,336,20:59,4,10,82,99,45.3
7,Alex Ovechkin\ovechal01,34,WSH,LW,17,13,9,22,-3,10,2.8,8,5,0,1,7,2,0,84,15.5,356,20:58,6,33,0,0,
8,Elias Pettersson\petteel01,21,VAN,C,16,6,15,21,4,2,2.3,4,2,0,1,7,8,0,38,15.8,295,18:25,7,10,18,24,42.9
9,Aleksander Barkov\barkoal01,24,FLA,C,15,3,16,19,-3,6,1.5,1,2,0,0,12,4,0,30,10.0,289,19:16,2,3,121,105,53.5
10,Jonathan Huberdeau\huberjo01,26,FLA,C,15,9,10,19,-3,8,2.1,9,0,0,2,5,5,0,38,23.7,275,18:18,4,7,19,31,38.0
11,Auston Matthews\matthau01,22,TOR,C,17,13,6,19,6,2,2.7,9,4,0,2,5,1,0,66,19.7,336,19:47,8,7,99,72,57.9
12,Mitch Marner\marnemi01,22,TOR,RW,17,4,14,18,-2,4,1.4,2,2,0,0,8,5,1,48,8.3,346,20:22,8,8,4,11,26.7
13,Mark Stone\stonema01,27,VEG,RW,17,8,10,18,-4,7,2.2,5,3,0,0,5,4,1,47,17.0,337,19:48,8,8,1,3,25.0
14,Matthew Tkachuk\tkachma01,22,CGY,LW,19,9,9,18,0,20,2.3,8,1,0,2,6,3,0,55,16.4,346,18:12,5,26,0,2,0.0
15,Sidney Crosby\crosbsi01,32,PIT,C,16,5,12,17,-1,7,1.6,4,1,0,0,10,2,0,45,11.1,334,20:51,5,13,177,133,57.1
16,Jack Eichel\eicheja01,23,BUF,C,15,7,10,17,-5,2,1.8,3,4,0,1,5,5,0,52,13.5,313,20:51,10,5,125,128,49.4
17,Johnny Gaudreau\gaudrjo01,26,CGY,LW,19,5,12,17,0,6,1.7,3,2,0,0,9,3,0,55,9.1,373,19:37,1,0,0,2,0.0
18,Dougie Hamilton\hamildo01,26,CAR,D,16,7,10,17,8,14,3.3,6,1,0,0,4,5,1,50,14.0,368,23:00,19,17,0,0,
19,Tomas Hertl\hertlto01,26,SJS,C,17,6,11,17,-10,8,1.5,3,2,1,1,7,4,0,38,15.8,328,19:17,8,13,146,120,54.9
20,Roman Josi\josiro01,29,NSH,D,16,5,12,17,5,19,2.5,2,3,0,0,5,7,0,52,9.6,387,24:12,21,11,0,0,
21,Elias Lindholm\lindhel01,25,CGY,C,19,10,7,17,4,10,2.4,6,4,0,2,5,2,0,46,21.7,376,19:48,16,11,91,110,45.3
22,J.T. Miller\millejt01,26,VAN,C,16,7,10,17,2,14,2.0,4,3,0,0,7,3,0,42,16.7,304,19:00,6,22,63,47,57.3
23,Ryan O'Reilly\oreilry01,28,STL,C,17,4,13,17,2,2,1.6,3,1,0,1,7,6,0,29,13.8,345,20:17,9,9,190,131,59.2
24,Patrice Bergeron\bergepa01,34,BOS,C,15,7,9,16,9,6,2.2,5,2,0,0,4,5,0,51,13.7,283,18:53,6,10,166,129,56.3
25,Brock Boeser\boesebr01,22,VAN,RW,16,7,9,16,4,8,1.9,4,3,0,1,5,4,0,47,14.9,304,18:58,2,3,0,5,0.0
26,Brent Burns\burnsbr01,34,SJS,D,17,3,13,16,-11,16,1.8,2,1,0,0,5,7,1,49,6.1,445,26:10,16,22,0,0,
27,Ryan Ellis\ellisry01,29,NSH,D,16,3,13,16,9,9,2.5,3,0,0,1,10,3,0,29,10.3,367,22:56,25,11,0,0,
28,Patrick Kane\kanepa01,31,CHI,RW,15,5,11,16,-5,8,1.4,4,1,0,2,7,4,0,46,10.9,316,21:04,1,10,0,1,0.0
29,William Karlsson\karlswi01,27,VEG,C,17,4,12,16,6,12,1.9,2,1,1,0,7,2,3,46,8.7,322,18:58,4,17,113,103,52.3
30,Travis Konecny\konectr01,22,PHI,C,15,7,9,16,-1,4,1.9,5,2,0,1,5,4,0,35,20.0,260,17:20,5,10,12,11,52.2
31,Sean Monahan\monahse01,25,CGY,C,19,4,12,16,-3,6,1.4,3,1,0,1,7,5,0,45,8.9,354,18:39,7,16,135,102,57.0
32,Artemi Panarin\panarar01,28,NYR,LW,14,8,8,16,3,6,2.0,5,3,0,0,6,2,0,39,20.5,283,20:15,1,2,0,0,
33,David Perron\perroda01,31,STL,LW,17,7,9,16,3,18,1.9,5,2,0,4,4,5,0,46,15.2,303,17:50,1,16,2,1,66.7
34,Morgan Rielly\riellmo01,25,TOR,D,17,3,13,16,4,14,2.2,3,0,0,2,8,5,0,40,7.5,434,25:32,20,8,0,1,0.0
35,Brayden Schenn\schenbr01,28,STL,C,17,10,6,16,1,8,2.1,6,4,0,0,3,3,0,33,30.3,309,18:12,4,22,100,117,46.1
36,Evander Kane\kaneev01,28,SJS,LW,14,10,5,15,-9,20,1.8,2,7,1,2,4,1,0,56,17.9,275,19:37,5,32,16,9,64.0
37,Anze Kopitar\kopitan01,32,LAK,C,16,4,11,15,0,6,1.4,2,1,1,1,7,4,0,37,10.8,325,20:17,11,9,140,116,54.7
38,Cale Makar\makarca01,21,COL,D,16,2,13,15,1,0,1.9,2,0,0,0,5,8,0,29,6.9,308,19:15,16,12,0,0,
39,Anthony Mantha\manthan01,25,DET,RW,17,9,6,15,-8,12,1.5,5,4,0,2,6,0,0,65,13.8,323,19:00,6,17,9,8,52.9
40,Mark Scheifele\scheima01,26,WPG,C,16,5,10,15,-6,2,1.2,3,2,0,1,8,2,0,33,15.2,357,22:19,6,8,144,156,48.0
41,Andrei Svechnikov\svechan01,19,CAR,RW,16,6,9,15,3,14,1.8,4,2,0,2,5,4,0,45,13.3,260,16:15,3,21,0,1,0.0
42,Tyler Bertuzzi\bertuty01,24,DET,LW,17,6,8,14,-5,6,1.3,6,0,0,0,6,2,0,35,17.1,333,19:36,3,13,1,0,100.0
43,Logan Couture\coutulo01,30,SJS,C,17,2,12,14,-5,16,1.0,2,0,0,0,4,7,1,39,5.1,315,18:31,11,8,80,102,44.0
44,Matt Duchene\duchema01,29,NSH,C,15,5,9,14,-2,8,1.3,2,3,0,0,7,2,0,35,14.3,253,16:51,5,5,86,79,52.1
45,Nikolaj Ehlers\ehlerni01,23,WPG,LW,16,7,7,14,-1,4,1.6,5,2,0,2,7,0,0,53,13.2,282,17:39,7,3,0,2,0.0
46,Taylor Hall\hallta02,28,NJD,LW,14,2,12,14,-4,10,0.9,2,0,0,0,7,5,0,48,4.2,277,19:46,3,9,3,10,23.1
47,Bo Horvat\horvabo01,24,VAN,C,16,6,8,14,-6,2,1.3,1,5,0,0,5,3,0,48,12.5,306,19:08,10,5,172,111,60.8
48,Evgeny Kuznetsov\kuzneev01,27,WSH,C,14,5,9,14,7,10,1.7,4,1,0,0,6,3,0,35,14.3,238,17:00,3,1,70,74,48.6
49,Patrik Laine\lainepa01,21,WPG,RW,14,3,11,14,1,2,1.3,3,0,0,0,7,4,0,47,6.4,269,19:13,5,25,0,3,0.0
50,Max Pacioretty\pacioma01,31,VEG,LW,17,4,10,14,-3,13,1.4,2,2,0,0,5,5,0,68,5.9,303,17:50,10,19,5,3,62.5
51,Alex Pietrangelo\pietral01,30,STL,D,17,6,8,14,1,2,2.4,3,3,0,2,4,3,1,46,13.0,403,23:41,20,6,0,0,
52,Nick Schmaltz\schmani01,23,ARI,C,16,4,10,14,8,2,1.8,3,1,0,2,8,2,0,22,18.2,245,15:18,7,4,36,61,37.1
53,Jaden Schwartz\schwaja01,27,STL,C,17,3,11,14,-1,6,1.1,2,1,0,1,7,4,0,34,8.8,303,17:49,8,5,4,6,40.0
54,Eric Staal\staaler01,35,MIN,C,16,6,8,14,-9,6,1.3,5,1,0,3,6,2,0,32,18.8,262,16:24,3,12,104,97,51.7
55,Ryan Strome\stromry01,26,NYR,C,14,5,9,14,6,12,1.7,4,1,0,2,6,3,0,23,21.7,252,18:02,4,9,98,100,49.5
56,Jakub Vrana\vranaja01,23,WSH,LW,17,9,5,14,3,4,2.0,9,0,0,2,2,3,0,48,18.8,235,13:49,4,2,2,4,33.3
