,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
David Pastrnak,BOS,RW,18,16,15,31,6,14,69,2,9,4,0,0,15,6
Leon Draisaitl,EDM,C,20,15,21,36,9,6,64,4,1,9,0,0,8,4
Auston Matthews,TOR,C,20,13,13,26,10,4,77,2,4,3,0,0,9,13
Alex Ovechkin,WAS,LW,20,13,10,23,-2,10,99,1,5,2,0,0,48,9
James Neal,EDM,RW,20,12,2,14,-10,8,52,2,8,0,0,0,22,5
Brad Marchand,BOS,LW,18,11,19,30,10,39,47,3,2,8,0,0,13,3
Evander Kane,SJ,LW,16,11,5,16,-9,24,64,2,7,1,1,0,40,8
Connor McDavid,EDM,C,20,11,20,31,6,12,65,2,4,9,0,0,9,6
Jean-Gabriel Pageau,OTT,C,18,11,4,15,19,13,45,3,0,0,2,0,28,19
Nathan MacKinnon,COL,C,18,11,15,26,1,2,92,1,5,5,0,0,18,4
Anthony Mantha,DET,RW,20,11,8,19,-6,14,76,3,4,2,0,0,26,8
Elias Lindholm,CGY,RW,21,10,7,17,3,10,51,2,4,2,0,0,18,16
Matthew Tkachuk,CGY,LW,21,10,10,20,1,20,64,2,1,4,0,0,40,5
Brayden Schenn,STL,LW,19,10,7,17,2,10,39,0,4,3,0,0,31,4
Reilly Smith,VGK,RW,20,10,5,15,2,4,50,2,1,1,2,1,13,10
Jonathan Huberdeau,FLA,LW,18,9,15,24,-2,8,44,2,0,9,0,0,15,4
Patrick Kane,CHI,RW,18,9,14,23,0,10,58,2,1,5,0,0,10,2
T.J. Oshie,WAS,RW,20,9,5,14,0,8,37,1,4,0,0,0,29,19
Roope Hintz,DAL,LW,16,9,2,11,1,2,33,1,1,2,1,0,16,5
Joonas Donskoi,COL,RW,18,9,5,14,-1,6,32,0,4,0,0,0,5,8
Filip Forsberg,NSH,RW,12,9,5,14,0,4,49,0,2,2,0,0,18,1
Jakub Vrana,WAS,RW,20,9,8,17,4,10,55,2,0,3,0,0,5,4
Sam Reinhart,BUF,C,17,8,7,15,-2,2,39,0,1,4,0,0,14,6
William Nylander,TOR,C,20,8,8,16,6,6,49,0,1,2,0,0,3,2
Jake Guentzel,PIT,LW,18,8,6,14,0,2,58,1,2,0,0,0,22,6
Tomas Hertl,SJ,LW,19,8,11,19,-7,12,45,1,2,4,1,0,15,10
Tom Wilson,WAS,RW,20,8,8,16,8,18,44,3,1,2,1,0,64,20
Sebastian Aho,CAR,LW,18,8,5,13,0,4,56,1,0,2,2,0,9,5
Travis Konecny,PHI,C,18,8,11,19,1,4,42,1,2,5,0,0,14,8
Conor Garland,ARI,RW,19,8,3,11,7,6,45,1,1,2,0,0,7,11
Jack Eichel,BUF,C,17,8,11,19,-3,4,56,1,4,5,0,0,11,12
Mathew Barzal,NYI,C,17,8,8,16,13,4,41,1,1,1,0,0,3,15
Brock Boeser,VAN,RW,19,8,11,19,2,10,53,1,4,4,0,0,11,3
Artemi Panarin,NYR,LW,16,8,11,19,4,8,46,0,3,3,0,0,5,1
Patrice Bergeron,BOS,C,18,8,10,18,8,8,63,0,3,5,0,0,17,8
David Perron,STL,RW,19,8,10,18,0,18,49,5,3,6,0,0,19,1
John Carlson,WAS,D,20,8,22,30,15,6,58,2,2,7,0,0,14,37
Brendan Gallagher,MON,RW,18,8,6,14,5,0,65,0,0,0,0,0,14,14
