,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Sam Reinhart\reinhsa01,C,BUF,,TBL,L,boxscore,2,0,2,2,0,2,0,0,0,0,0,0,7,28.6,24,20:56,3,0,0,0,
2,Robby Fabbri\fabbrro01,C,DET,,BOS,W,boxscore,2,0,2,-1,0,0,2,0,1,0,0,0,2,100.0,19,13:15,1,0,1,1,50.0
3,Anthony Mantha\manthan01,RW,DET,,BOS,W,boxscore,1,1,2,2,0,1,0,0,0,0,1,0,6,16.7,23,21:29,0,1,0,3,0.0
4,Alex Chiasson\chiasal01,RW,EDM,,NJD,W,boxscore,1,1,2,1,2,0,1,0,0,1,0,0,5,20.0,17,13:54,0,0,0,0,
5,Kyle Connor\connoky01,LW,WPG,,VAN,W,boxscore,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,22,18:39,1,0,0,0,
6,David Krejci\krejcda01,C,BOS,@,DET,L,boxscore,1,1,2,0,2,1,0,0,0,0,1,0,3,33.3,25,18:22,1,1,7,7,50.0
7,Tyler Bertuzzi\bertuty01,LW,DET,,BOS,W,boxscore,0,2,2,2,0,0,0,0,0,0,2,0,3,0.0,22,19:41,2,0,0,0,
8,Ryan Nugent-Hopkins\nugenry01,C,EDM,,NJD,W,boxscore,0,2,2,2,0,0,0,0,0,1,1,0,2,0.0,21,18:32,0,0,2,5,28.6
9,Joel Persson\perssjo02,D,EDM,,NJD,W,boxscore,0,2,2,2,0,0,0,0,0,2,0,0,0,,18,15:02,1,0,0,0,
10,Dylan Larkin\larkidy01,C,DET,,BOS,W,boxscore,1,0,1,2,2,1,0,0,0,0,0,0,3,33.3,32,21:40,0,1,12,10,54.5
11,Leon Draisaitl\draisle01,C,EDM,,NJD,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,18,18:49,0,0,7,2,77.8
12,Yanni Gourde\gourdya01,C,TBL,@,BUF,W,boxscore,1,0,1,1,2,1,0,0,1,0,0,0,2,50.0,19,13:34,0,0,2,0,100.0
13,Gaetan Haas\haasga01,F,EDM,,NJD,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,13,8:57,0,0,6,2,75.0
14,Nikita Kucherov\kucheni01,RW,TBL,@,BUF,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,26,21:23,1,0,0,0,
15,Adam Lowry\lowryad01,LW,WPG,,VAN,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,20,15:05,0,0,7,8,46.7
16,James Neal\nealja01,LW,EDM,,NJD,W,boxscore,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,15,13:24,1,1,0,1,0.0
17,Mark Scheifele\scheima01,C,WPG,,VAN,W,boxscore,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,22,19:13,0,0,4,8,33.3
18,Alex Killorn\killoal01,C/LW,TBL,@,BUF,W,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,22,17:07,1,0,0,0,
19,Jack Roslovic\rosloja01,C,WPG,,VAN,W,boxscore,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,18,16:39,0,0,0,1,0.0
20,J.T. Miller\millejt01,C,VAN,@,WPG,L,boxscore,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,22,19:34,0,1,5,1,83.3
21,Patrice Bergeron\bergepa01,C,BOS,@,DET,L,boxscore,1,0,1,-2,0,0,1,0,0,0,0,0,7,14.3,26,21:15,1,0,11,7,61.1
