Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,=1,=3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Washington Capitals,14-2-4,2-1,3-3,5-1-3,9-1-1,7-0-1,7-2-3,4-0-0,3-0-1,3-2-1,4-0-2,7-1-4,4-1-0,9-2-3,5-0-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2,St. Louis Blues,12-3-4,0-2,5-2,5-1-3,7-2-1,4-3-2,8-0-2,3-3-0,1-0-2,4-0-0,4-0-2,8-0-4,2-3-0,7-3-3,5-0-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
3,New York Islanders,13-3-1,1-0,2-1,9-2-1,4-1-0,9-2-1,4-1-0,7-0-0,2-2-1,3-0-0,1-1-0,6-1-1,3-2-0,8-3-0,5-0-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
4,Edmonton Oilers,12-6-2,1-1,2-1,6-2-1,6-4-1,9-2-0,3-4-2,1-2-0,8-0-0,0-3-1,3-1-1,6-0-2,6-4-0,9-4-1,3-2-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
5,Boston Bruins,11-3-4,0-3,0-1,7-0-3,4-3-1,5-2-4,6-1-0,2-2-3,3-0-1,2-1-0,4-0-0,3-1-4,5-0-0,9-1-2,2-2-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
6,Arizona Coyotes,11-6-2,3-0,2-2,4-4-0,7-2-2,5-4-0,6-2-2,2-2-0,3-2-0,4-1-1,2-1-1,5-4-2,4-1-0,7-4-1,4-2-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
7,Colorado Avalanche,11-5-2,0-0,2-2,6-2-1,5-3-1,5-0-2,6-5-0,3-0-1,2-0-1,3-3-0,3-2-0,2-1-2,5-3-0,8-2-2,3-3-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
8,Calgary Flames,10-8-3,2-0,2-3,6-2-2,4-6-1,5-3-0,5-5-3,2-0-0,3-3-0,2-2-2,3-3-1,5-1-3,4-2-0,7-6-2,3-2-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
9,Montreal Canadiens,10-5-3,2-1,1-2,6-3-0,4-2-3,4-2-3,6-3-0,3-2-1,1-0-2,3-2-0,3-1-0,5-1-3,5-1-0,7-4-2,3-1-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
10,Philadelphia Flyers,10-5-3,3-3,1-0,6-1-2,4-4-1,7-2-2,3-3-1,3-0-1,4-2-1,2-1-0,1-2-1,5-0-3,5-3-0,5-5-1,5-0-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
11,Vancouver Canucks,10-6-3,2-1,0-2,5-1-2,5-5-1,5-2-1,5-4-2,3-0-0,2-2-1,2-2-1,3-2-1,3-3-3,5-3-0,8-3-1,2-3-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
12,Florida Panthers,9-4-5,3-3,1-2,3-1-2,6-3-3,6-3-3,3-1-2,3-1-1,3-2-2,2-0-1,1-1-1,5-1-5,2-3-0,6-3-4,3-1-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
13,Pittsburgh Penguins,10-6-2,1-0,2-2,6-3-1,4-3-1,3-4-1,7-2-1,0-4-0,3-0-1,6-1-0,1-1-1,4-1-2,5-2-0,8-5-0,2-1-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
14,Toronto Maple Leafs,9-7-4,1-2,2-2,6-2-4,3-5-0,5-5-4,4-2-0,3-3-1,2-2-3,1-2-0,3-0-0,3-4-4,3-2-0,6-5-3,3-2-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
15,Carolina Hurricanes,10-7-1,1-0,2-1,7-3-0,3-4-1,7-5-1,3-2-0,5-1-0,2-4-1,1-0-0,2-2-0,4-1-1,5-3-0,8-3-1,2-4-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
16,Winnipeg Jets,10-8-1,2-1,4-0,5-5-1,5-3-0,2-4-1,8-4-0,0-0-0,2-4-1,3-1-0,5-3-0,7-1-1,3-4-0,6-7-0,4-1-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
17,Nashville Predators,9-6-3,0-2,1-1,6-2-2,3-4-1,3-2-1,6-4-2,2-1-1,1-1-0,3-1-0,3-3-2,2-1-3,7-3-0,8-3-2,1-3-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
18,Vegas Golden Knights,9-8-3,2-0,0-3,4-4-2,5-4-1,3-4-2,6-4-1,1-2-2,2-2-0,1-3-1,5-1-0,3-2-3,6-5-0,8-5-1,1-3-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
19,Anaheim Ducks,9-8-2,0-0,1-2,6-3-2,3-5-0,4-2-1,5-6-1,2-1-1,2-1-0,2-3-1,3-3-0,3-3-2,3-3-0,8-6-0,1-2-2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
20,Buffalo Sabres,9-6-2,1-1,2-1,5-2-1,4-4-1,5-5-1,4-1-1,3-2-0,2-3-1,1-0-0,3-1-1,4-2-2,3-3-0,9-2-2,0-4-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
