,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,Nicklas Backstrom\backsni02,C,WSH,,VEG,W,boxscore,2,0,2,1,0,1,1,0,0,0,0,0,6,33.3,21,19:22,1,0,7,6,53.8
2,Cale Makar\makarca01,D,COL,,CBJ,W,boxscore,2,0,2,1,0,2,0,0,1,0,0,0,7,28.6,25,16:56,0,0,0,0,
3,Pat Maroon\maroopa01,LW,TBL,,BUF,W,boxscore,2,0,2,1,0,1,1,0,0,0,0,0,6,33.3,19,14:40,1,0,0,0,
4,Shea Weber\webersh01,D,MTL,,LAK,W,boxscore,2,0,2,0,0,0,2,0,1,0,0,0,7,28.6,26,25:07,0,3,0,0,
5,Mathew Barzal\barzama01,C,NYI,,FLA,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,5,20.0,20,19:24,0,2,1,4,20.0
6,Kevin Fiala\fialake01,LW,MIN,@,ARI,W,boxscore,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,21,15:36,0,0,0,0,
7,Yanni Gourde\gourdya01,C,TBL,,BUF,W,boxscore,1,1,2,1,0,1,0,0,1,0,1,0,4,25.0,19,14:31,1,1,3,0,100.0
8,Nazem Kadri\kadrina01,C,COL,,CBJ,W,boxscore,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,19,15:56,0,0,4,4,50.0
9,Blake Lizotte\lizotbl01,C,LAK,@,MTL,L,boxscore,1,1,2,1,0,1,0,0,0,0,1,0,4,25.0,25,16:19,0,0,6,6,50.0
10,William Nylander\nylanwi01,C,TOR,,PHI,L-SO,boxscore,1,1,2,1,0,1,0,0,0,1,0,0,5,20.0,29,19:33,1,0,4,1,80.0
11,Jack Eichel\eicheja01,C,BUF,@,TBL,L,boxscore,1,1,2,0,0,1,0,0,0,1,0,0,3,33.3,24,22:27,1,0,14,12,53.8
